# Database file name:              /home/terminator2/Documents/R_Projects/AnomalyRulesMining/coron-0.8/../shifted.basenum
# Database file size:              21,716 bytes
# Number of lines:                 1,965
# Total number of attributes:      17
# Number of non empty attributes:  17
# Number of attributes in average: 4.58
# Density:                         26.96%
# min_supp:                        5, i.e. 0.25%
# Chosen algorithm:                A-Close

{1} (1588) [key: +; closure: {1}]
{4, 9, 12, 17} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{4, 9, 13, 17} (9) [key: +; closure: {1, 4, 6, 7, 8, 9, 11, 13, 17}]
{4, 9, 14, 17} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{4, 9, 15, 17} (7) [key: +; closure: {1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17}]
{7, 12, 15, 17} (14) [key: +; closure: {1, 6, 7, 12, 15, 17}]
{8, 12, 15, 17} (11) [key: +; closure: {1, 6, 7, 8, 11, 12, 13, 14, 15, 17}]
{8, 14, 15, 17} (11) [key: +; closure: {1, 6, 7, 8, 11, 12, 13, 14, 15, 17}]
{11, 12, 15, 17} (13) [key: +; closure: {1, 6, 7, 11, 12, 13, 14, 15, 17}]
{12, 13, 15, 17} (13) [key: +; closure: {1, 6, 7, 11, 12, 13, 14, 15, 17}]
{12, 14, 15, 17} (13) [key: +; closure: {1, 6, 7, 11, 12, 13, 14, 15, 17}]

# FGs: 269
